screen_name,followers
Airdropalertcom,168950
BlockchainCutie,42813
okxweb3,151730
GawsStiph,236626
ethphoenix_,129211
goodfreephotos,11997
hashoshi4,70121
CrypPad,327321
iHodl_com_en,3026
CryptoComets,123717
CryptoAdventure,92787
CryptoApeNFTs_,97697
CryptoAtlas_io,15373
jamieCrypto,11884
SlotieNft,45758
join_hyve,30308
SBF_FTX_Parody,2013
PlayToEarnGames,116194
BitcoinAverage,10557
PlayCryptoBallZ,86077
Bitcoin_Win,11895
mabling,43856
Ninacrypto_,86963
CryptoIA_2020,111818
BTCTN,2802771
nft_drop_here_,77868
CryptoJobsNow,5084
nobsbitcoin,18601
NFTCalendar2023,40684
Coinight,93286
Perry2911,3486
TBlockchainS,3586
pocketarena,22470
blockchainrptr,107992
btc_quotes,9709
builtoneth,7134
Bitcoin_ABC,25534
bitcoinpoet,59006
bitcoin_txt,8700
bitcoin_experts,6874
cryptobaesnft,120194
cryptocomcs,67008
bit8coin,11801
cryptopunksbot,104644
b36l_org,30259
b2bx_exchange,2714
BlockchainNewsM,5683
BlockchainZA,11303
BitcoinHypers,16304
dca_cc,1964
abr_blockchain,3370
dmgblockchain,5087
BtcBlockBot,33048
Web3foundation,132278
BuyBTCWW,20580
ethprice_,2461
ChainersNFT,63168
CryptoRank_io,191355
btc_alert,28445
Drop_Your_NFT_,107258
Interactivecryp,8524
Crypto_Dep,100528
DrBitcoinMD,40950
Kuroki_NFT,89530
MICKYNewsOz,1863
web3_work,2872
ETHfeeChart,3418
KryptoMoney,5814
CryptoCapo_,732552
CryptoTownEU,1520168
FTX_Official,761186
Crypto_Hawkk,429798
ElinaGiveaway,736072
NaishaHost,131868
TiarCrypto,355845
Hasbulla_NFT,334808
BabyDogeNFTs,175931
YearnYield,25796
kris,256996
SirKunt,2259330
BullsPromoter,261048
NFTWizzardX,437716
CoinersTakingLs,487942
MrNFTexpert,338931
cryptoworld_gg,27706
russnft,49927
ethereum,3060836
